Campaign_ID,Budget,Clicks,CTR,CPC,Conversions,CPA,Conversion_Rate,Duration,Platform,Content_Type,Target_Age,Target_Gender,Region,Revenue,Spend,ROAS,Date,Impressions
C5938,4630,1667,1.5252,2.78,1446,3.2,0.8674,9,Instagram,Text,45-54,Male,South America,160506,4537.4,35.37,2024-12-10,1092
C3935,5000,321,0.1499,15.58,307,16.29,0.9564,21,Facebook,Text,35-44,Male,North America,20876,4850.0,4.3,2024-07-09,2141
C7449,2160,1164,0.4856,1.86,862,2.51,0.7405,21,Google,Carousel,25-34,Other,North America,124990,2203.2,56.73,2024-07-09,2397
C3181,8370,732,0.2679,11.43,594,14.09,0.8115,24,YouTube,Text,18-24,Male,South America,48114,8370.0,5.75,2024-07-22,2732
C4782,6260,1573,0.1804,3.98,487,12.85,0.3096,13,Google,Video,35-44,Male,Asia,19967,6510.4,3.07,2025-01-29,8719
C5794,9240,877,0.0914,10.54,472,19.58,0.5382,17,Instagram,Image,18-24,Other,Africa,82128,8962.8,9.16,2024-05-24,9595
C7681,8840,299,0.1449,29.57,226,39.12,0.7559,20,YouTube,Video,18-24,Other,Asia,28476,8840.0,3.22,2024-12-02,2063
C3996,5140,1134,0.1614,4.53,687,7.48,0.6058,16,Facebook,Carousel,35-44,Male,South America,33663,5037.2,6.68,2025-01-11,7026
C1555,9360,838,0.0879,11.17,832,11.25,0.9928,30,LinkedIn,Carousel,35-44,Other,South America,154752,9172.8,16.87,2024-10-11,9533
C2434,8140,1491,0.3777,5.46,1279,6.36,0.8578,24,Instagram,Video,45-54,Other,Africa,203361,8384.2,24.26,2025-01-28,3947
C8502,8310,842,0.0996,9.87,484,17.17,0.5748,25,Instagram,Image,18-24,Other,Asia,82280,8725.5,9.43,2025-02-01,8453
C3055,2350,1387,0.1809,1.69,734,3.2,0.5292,15,YouTube,Carousel,25-34,Other,Asia,104228,2420.5,43.06,2024-10-10,7667
C6872,5230,897,0.1636,5.83,335,15.61,0.3735,20,Google,Video,25-34,Other,Europe,64990,5073.1,12.81,2024-12-23,5482
C7596,2190,254,0.0572,8.62,239,9.16,0.9409,8,Instagram,Carousel,35-44,Male,Africa,7170,2102.4,3.41,2024-07-12,4440
C2221,7460,645,0.1664,11.57,95,78.53,0.1473,11,LinkedIn,Video,45-54,Other,Africa,18335,7683.8,2.39,2024-10-09,3876
C9288,8800,1692,1.5424,5.2,1462,6.02,0.8641,30,LinkedIn,Image,18-24,Female,Asia,119884,8360.0,14.34,2024-10-12,1096
C9249,6740,595,0.3504,11.33,567,11.89,0.9529,8,LinkedIn,Video,45-54,Other,Europe,36288,6874.8,5.28,2024-02-27,1698
C4482,9110,1100,0.6691,8.28,661,13.78,0.6009,11,Facebook,Image,55+,Male,North America,104438,9565.5,10.92,2024-12-21,1643
C5313,6190,1673,1.5405,3.7,1321,4.69,0.7896,26,Facebook,Video,55+,Other,Europe,81902,6313.8,12.97,2024-10-15,1086
C5399,6550,1382,0.6476,4.74,407,16.09,0.2945,14,Facebook,Text,35-44,Male,South America,71632,6222.5,11.51,2024-07-21,2134
C5557,6620,962,0.4779,6.88,917,7.22,0.9532,15,Google,Video,25-34,Other,Africa,53186,6951.0,7.65,2024-06-30,2012
C6874,5890,484,0.0534,12.17,237,24.85,0.4897,17,Instagram,Video,45-54,Male,South America,22041,5831.1,3.78,2024-10-29,9063
C5999,2540,1598,0.6389,1.59,854,2.97,0.5344,24,LinkedIn,Carousel,25-34,Other,North America,157136,2514.6,62.49,2024-02-22,2501
C3701,7380,1697,0.2188,4.35,518,14.25,0.3052,26,Google,Text,55+,Other,Europe,76664,7011.0,10.93,2024-06-07,7755
C1508,7610,526,0.2136,14.47,137,55.55,0.2605,27,Instagram,Text,18-24,Other,Asia,20413,7686.1,2.66,2024-12-13,2462
C2576,9130,1718,0.9172,5.31,1390,6.57,0.8091,19,LinkedIn,Video,45-54,Female,North America,247420,9312.6,26.57,2024-06-30,1873
C6242,2400,1318,0.4925,1.82,286,8.39,0.217,23,YouTube,Video,45-54,Other,Europe,33462,2280.0,14.68,2024-07-04,2676
C2157,9510,622,0.5743,15.29,277,34.33,0.4453,15,Google,Carousel,45-54,Female,South America,21606,9224.7,2.34,2024-11-27,1083
C1002,9950,1806,0.1819,5.51,1612,6.17,0.8926,25,Facebook,Carousel,18-24,Female,Asia,320788,10348.0,31.0,2024-06-22,9928
C9559,4960,1351,0.1527,3.67,141,35.18,0.1044,23,LinkedIn,Text,35-44,Male,South America,6627,4960.0,1.34,2024-12-09,8847
C8244,3790,929,0.1444,4.08,93,40.75,0.1001,15,Google,Text,35-44,Male,Africa,9486,3827.9,2.48,2025-01-19,6433
C2340,3400,1173,0.1277,2.9,1018,3.34,0.8679,7,Facebook,Text,45-54,Male,Europe,123178,3434.0,35.87,2024-10-23,9185
C7255,3650,1187,0.1673,3.07,130,28.08,0.1095,7,YouTube,Text,35-44,Female,Europe,5200,3540.5,1.47,2024-10-05,7095
C8218,5940,107,0.0664,55.51,43,138.14,0.4019,7,YouTube,Carousel,45-54,Other,Africa,7697,5643.0,1.36,2024-03-11,1611
C7331,4040,846,0.0902,4.78,522,7.74,0.617,24,YouTube,Video,25-34,Female,Asia,41238,4201.6,9.81,2024-10-05,9379
C6586,4400,1049,0.1456,4.19,16,275.0,0.0153,20,Google,Carousel,18-24,Female,Asia,2464,4356.0,0.57,2024-02-18,7204
C1413,2390,296,0.0321,8.07,204,11.72,0.6892,27,Google,Video,25-34,Male,Africa,38760,2366.1,16.38,2025-01-27,9221
C6528,5760,1469,0.2613,3.92,917,6.28,0.6242,17,Facebook,Carousel,35-44,Male,Europe,78862,5702.4,13.83,2024-06-19,5621
C8829,9030,1696,0.1886,5.32,1246,7.25,0.7347,30,LinkedIn,Image,55+,Other,Asia,179424,8668.8,20.7,2024-08-13,8992
C2805,9230,1553,0.4145,5.94,916,10.08,0.5898,8,Instagram,Image,18-24,Male,Africa,62288,9414.6,6.62,2025-01-18,3746
C8023,6640,1433,0.2151,4.63,108,61.48,0.0754,14,LinkedIn,Image,55+,Female,South America,19116,6440.8,2.97,2024-06-11,6662
C1542,4210,1427,0.688,2.95,277,15.2,0.1941,28,Facebook,Text,45-54,Other,Europe,12742,4167.9,3.06,2024-11-06,2074
C5660,9690,1389,0.2441,6.98,1191,8.14,0.8575,10,Google,Image,55+,Other,South America,202470,9980.7,20.29,2024-11-16,5690
C7614,9800,698,0.2913,14.04,502,19.52,0.7192,18,Instagram,Text,18-24,Male,South America,33132,9604.0,3.45,2024-07-24,2396
C2469,9350,687,0.2915,13.61,192,48.7,0.2795,27,Instagram,Image,35-44,Other,South America,27264,9069.5,3.01,2024-09-26,2356
C1900,6970,1562,0.5014,4.46,1530,4.56,0.9795,15,Facebook,Text,35-44,Male,Asia,73440,7039.7,10.43,2024-05-03,3115
C1108,7010,271,0.0849,25.87,41,170.98,0.1513,11,YouTube,Carousel,25-34,Male,North America,2665,7080.1,0.38,2025-01-21,3191
C2071,7120,903,0.1705,7.88,471,15.12,0.5216,18,YouTube,Video,45-54,Other,Europe,28260,6835.2,4.13,2024-03-04,5296
C6095,3750,1251,0.176,3.0,29,129.31,0.0232,13,LinkedIn,Carousel,25-34,Other,Africa,1682,3825.0,0.44,2024-06-20,7107
C5045,6950,407,0.1886,17.08,237,29.32,0.5823,26,Google,Video,35-44,Other,South America,46689,7297.5,6.4,2024-08-23,2158
C4555,4200,661,0.1647,6.35,597,7.04,0.9032,21,Instagram,Video,25-34,Male,South America,46566,4200.0,11.09,2024-05-04,4013
C4793,5700,1398,0.5603,4.08,34,167.65,0.0243,8,YouTube,Carousel,35-44,Female,South America,6256,5415.0,1.16,2024-04-25,2495
C2048,3540,168,0.0557,21.07,35,101.14,0.2083,15,YouTube,Image,55+,Female,Africa,5600,3540.0,1.58,2024-03-07,3016
C4845,4590,63,0.0222,72.86,48,95.62,0.7619,25,Google,Image,55+,Male,Asia,1776,4681.8,0.38,2024-06-17,2837
C9774,5600,236,0.0491,23.73,33,169.7,0.1398,9,Instagram,Carousel,55+,Female,Europe,1584,5656.0,0.28,2024-11-23,4806
C5042,2470,1187,0.3746,2.08,100,24.7,0.0842,30,Instagram,Video,55+,Other,Europe,7300,2519.4,2.9,2024-08-18,3168
C1725,6950,1929,0.2497,3.6,1755,3.96,0.9098,17,Google,Text,18-24,Female,Asia,198315,6880.5,28.82,2024-12-10,7725
C3371,5520,1922,0.2725,2.87,1727,3.2,0.8985,23,LinkedIn,Video,25-34,Other,North America,127798,5740.8,22.26,2024-11-28,7053
C3637,4830,1936,0.3735,2.49,1529,3.16,0.7898,10,LinkedIn,Text,45-54,Male,Europe,131494,5071.5,25.93,2024-03-12,5183
C6261,2060,1589,0.4064,1.3,600,3.43,0.3776,26,LinkedIn,Text,35-44,Other,North America,19800,2039.4,9.71,2024-08-27,3909
C5561,9040,106,0.0166,85.28,68,132.94,0.6415,25,Instagram,Text,18-24,Other,North America,8636,9130.4,0.95,2024-03-18,6385
C2077,7510,880,0.6827,8.53,820,9.16,0.9318,25,YouTube,Carousel,45-54,Other,Europe,141860,7885.5,17.99,2024-04-28,1288
C8057,2500,140,0.0146,17.86,137,18.25,0.9786,28,YouTube,Carousel,55+,Female,North America,25482,2575.0,9.9,2024-10-04,9589
C1737,4920,413,0.1405,11.91,90,54.67,0.2179,27,Instagram,Video,45-54,Male,North America,11790,4723.2,2.5,2024-03-21,2939
C1505,8810,1778,0.2963,4.96,978,9.01,0.5501,25,Google,Carousel,55+,Other,Asia,124206,8898.1,13.96,2025-01-27,6000
C2719,7620,1730,0.7786,4.4,231,32.99,0.1335,10,Instagram,Image,25-34,Other,Europe,31878,8001.0,3.98,2024-03-26,2221
C7735,9420,1006,0.3327,9.36,682,13.81,0.6779,18,Instagram,Text,25-34,Male,Europe,109120,9325.8,11.7,2024-05-01,3023
C6972,7760,111,0.0229,69.91,76,102.11,0.6847,19,Instagram,Video,55+,Female,Africa,9576,7604.8,1.26,2024-06-18,4847
C5312,5570,136,0.0247,40.96,76,73.29,0.5588,24,Google,Image,35-44,Other,North America,6764,5291.5,1.28,2024-11-28,5506
C1783,2080,1180,0.3513,1.76,1041,2.0,0.8822,8,Facebook,Image,25-34,Other,Europe,173847,1976.0,87.98,2024-02-28,3358
C3792,6230,1226,0.1735,5.08,481,12.95,0.3923,23,Facebook,Video,55+,Male,Asia,68783,6354.6,10.82,2024-11-22,7066
C9836,8280,451,0.0656,18.36,145,57.1,0.3215,17,LinkedIn,Video,45-54,Male,Africa,5220,8362.8,0.62,2024-04-20,6874
C4093,7880,1644,0.8621,4.79,320,24.62,0.1946,8,YouTube,Carousel,35-44,Male,Africa,15360,7880.0,1.95,2024-07-31,1906
C9838,4940,609,0.062,8.11,225,21.96,0.3695,17,Instagram,Text,18-24,Male,Africa,29250,5088.2,5.75,2024-08-22,9822
C1176,9150,1103,0.3458,8.3,403,22.7,0.3654,25,Facebook,Text,45-54,Female,North America,47554,9058.5,5.25,2024-06-15,3189
C7530,7750,287,0.0292,27.0,192,40.36,0.669,25,YouTube,Text,25-34,Other,South America,7104,7362.5,0.96,2024-09-28,9828
C7692,2280,1116,0.2535,2.04,102,22.35,0.0914,18,YouTube,Video,25-34,Other,Europe,19176,2325.6,8.25,2024-10-30,4402
C7432,8920,121,0.0486,73.72,40,223.0,0.3306,16,Google,Video,18-24,Female,Africa,6800,8920.0,0.76,2024-08-20,2489
C8177,3350,904,0.1709,3.71,81,41.36,0.0896,10,Instagram,Carousel,55+,Other,Asia,2592,3450.5,0.75,2025-01-18,5289
C1378,3280,74,0.0504,44.32,53,61.89,0.7162,30,Facebook,Image,45-54,Female,Africa,1643,3148.8,0.52,2024-04-03,1468
C7959,3450,254,0.0474,13.58,14,246.43,0.0551,21,Google,Video,25-34,Male,Asia,2212,3346.5,0.66,2024-06-15,5358
C2638,3180,972,0.0998,3.27,546,5.82,0.5617,15,LinkedIn,Carousel,55+,Female,Africa,57876,3339.0,17.33,2024-03-14,9739
C5910,4310,577,0.1408,7.47,188,22.93,0.3258,7,Facebook,Carousel,18-24,Other,Africa,20868,4223.8,4.94,2024-08-15,4098
C9293,8820,1322,0.7776,6.67,61,144.59,0.0461,16,Facebook,Video,45-54,Other,Africa,6832,9172.8,0.74,2024-02-22,1700
C2716,6260,1549,1.2008,4.04,665,9.41,0.4293,21,Facebook,Image,25-34,Other,Europe,99750,6385.2,15.62,2024-05-20,1289
C9055,3850,129,0.0155,29.84,101,38.12,0.7829,30,YouTube,Carousel,35-44,Other,Europe,7373,3850.0,1.92,2025-02-01,8322
C2772,9150,826,0.1379,11.08,40,228.75,0.0484,18,Facebook,Text,18-24,Other,Asia,4960,9516.0,0.52,2024-04-05,5989
C2972,4540,1125,0.2015,4.04,191,23.77,0.1698,7,LinkedIn,Carousel,25-34,Male,Europe,34762,4449.2,7.81,2024-04-05,5583
C2481,8510,681,0.2304,12.5,636,13.38,0.9339,7,Facebook,Carousel,45-54,Male,South America,52152,8424.9,6.19,2024-07-01,2955
C5611,6300,663,0.0861,9.5,446,14.13,0.6727,19,Instagram,Carousel,35-44,Male,Europe,37018,6489.0,5.7,2024-12-03,7700
C7572,4660,729,0.0999,6.39,70,66.57,0.096,25,YouTube,Carousel,55+,Female,Africa,9870,4706.6,2.1,2025-01-07,7297
C4973,4610,1114,0.235,4.14,159,28.99,0.1427,15,Facebook,Carousel,25-34,Male,Asia,25281,4471.7,5.65,2024-09-16,4740
C4744,6980,1494,0.4468,4.67,510,13.69,0.3414,29,YouTube,Carousel,25-34,Female,South America,74970,6631.0,11.31,2024-05-04,3343
C1946,2030,715,0.1761,2.84,537,3.78,0.751,14,YouTube,Carousel,25-34,Other,Africa,81624,1928.5,42.33,2025-01-20,4060
C7586,3760,459,0.1544,8.19,285,13.19,0.6209,9,Instagram,Carousel,35-44,Female,South America,44460,3684.8,12.07,2024-09-26,2972
C1127,2290,1109,0.68,2.06,71,32.25,0.064,9,Facebook,Video,35-44,Male,South America,6603,2381.6,2.77,2024-07-20,1630
C6136,6100,1597,0.2081,3.82,52,117.31,0.0326,26,YouTube,Carousel,55+,Female,Africa,2756,6344.0,0.43,2024-05-31,7674
C2281,2850,1962,0.1968,1.45,312,9.13,0.159,14,Instagram,Text,18-24,Male,South America,23088,2707.5,8.53,2024-04-26,9969
C9118,2510,344,0.0468,7.3,220,11.41,0.6395,21,Google,Image,35-44,Male,Africa,43340,2459.8,17.62,2024-12-16,7350
C6880,9880,927,0.1895,10.66,521,18.96,0.562,24,Instagram,Image,45-54,Other,Europe,75545,9781.2,7.72,2024-05-11,4891
C6366,8240,327,0.0485,25.2,292,28.22,0.893,11,LinkedIn,Image,55+,Male,Africa,41464,8157.6,5.08,2024-07-09,6742
C3759,4610,1879,0.402,2.45,867,5.32,0.4614,11,Instagram,Carousel,18-24,Other,Africa,125715,4610.0,27.27,2025-01-24,4674
C3041,4380,348,0.0642,12.59,227,19.3,0.6523,12,Instagram,Text,55+,Female,Africa,25651,4248.6,6.04,2024-07-27,5420
C4336,4930,1192,0.1204,4.14,135,36.52,0.1133,27,LinkedIn,Image,55+,Male,Africa,4590,5028.6,0.91,2024-10-18,9900
C9305,9150,1038,0.21,8.82,80,114.38,0.0771,28,Google,Text,25-34,Other,Asia,4240,9150.0,0.46,2024-08-28,4942
C3508,3060,487,0.136,6.28,339,9.03,0.6961,22,Instagram,Image,18-24,Other,South America,55935,2907.0,19.24,2024-04-13,3580
C9092,3720,1751,0.7305,2.12,80,46.5,0.0457,20,Facebook,Carousel,18-24,Other,Europe,15200,3868.8,3.93,2024-12-16,2396
C3215,3080,337,0.0648,9.14,37,83.24,0.1098,8,Facebook,Image,35-44,Male,North America,1369,3110.8,0.44,2024-12-16,5200
C4306,9330,992,0.295,9.41,547,17.06,0.5514,15,LinkedIn,Image,18-24,Female,Asia,91896,9330.0,9.85,2024-04-14,3362
C5802,3890,1343,0.2646,2.9,1135,3.43,0.8451,12,Facebook,Image,18-24,Male,South America,53345,3773.3,14.14,2024-10-10,5075
C4892,6320,782,0.1964,8.08,367,17.22,0.4693,16,YouTube,Carousel,45-54,Other,Africa,49178,6572.8,7.48,2024-04-11,3981
C5299,3310,957,0.1585,3.46,291,11.37,0.3041,28,Instagram,Carousel,35-44,Male,Africa,34338,3177.6,10.81,2025-02-04,6037
C5700,2110,1157,0.1357,1.82,183,11.53,0.1582,16,Google,Image,55+,Female,North America,35319,2131.1,16.57,2024-09-17,8526
C2361,7070,430,0.0456,16.44,238,29.71,0.5535,7,Google,Carousel,35-44,Female,Asia,37604,7423.5,5.07,2024-08-26,9429
C5324,4080,1369,0.1374,2.98,1299,3.14,0.9489,11,Google,Carousel,35-44,Female,Asia,200046,4120.8,48.55,2024-04-05,9963
C1822,9960,465,0.0986,21.42,176,56.59,0.3785,17,Instagram,Carousel,18-24,Other,Asia,12672,9860.4,1.29,2024-03-09,4716
C1510,7900,1604,0.3808,4.93,958,8.25,0.5973,25,Facebook,Image,25-34,Male,South America,98674,8295.0,11.9,2024-04-20,4212
C5404,5340,1176,0.2106,4.54,97,55.05,0.0825,16,Instagram,Video,35-44,Other,Africa,13095,5073.0,2.58,2024-03-09,5584
C3108,9730,497,0.1624,19.58,51,190.78,0.1026,29,LinkedIn,Text,35-44,Other,Asia,4080,9438.1,0.43,2024-02-22,3060
C7169,2460,813,0.0961,3.03,609,4.04,0.7491,29,LinkedIn,Image,55+,Other,North America,67599,2484.6,27.21,2024-10-11,8459
C4316,4690,686,0.1717,6.84,207,22.66,0.3017,28,Instagram,Video,45-54,Male,North America,9108,4924.5,1.85,2025-01-27,3995
C8539,2280,326,0.0758,6.99,131,17.4,0.4018,21,Facebook,Text,35-44,Other,Africa,14279,2348.4,6.08,2024-06-01,4300
C4251,6680,1345,0.9655,4.97,545,12.26,0.4052,26,YouTube,Carousel,18-24,Female,South America,59405,6947.2,8.55,2024-07-13,1393
C9343,6960,553,0.1418,12.59,204,34.12,0.3689,21,Facebook,Carousel,18-24,Male,Africa,8772,7308.0,1.2,2025-02-02,3899
C2960,5730,1769,0.2696,3.24,501,11.44,0.2832,22,LinkedIn,Text,25-34,Other,Europe,77655,5500.8,14.12,2024-09-11,6561
C2041,4820,1855,0.2154,2.6,1410,3.42,0.7601,22,Google,Text,45-54,Male,Africa,57810,4964.6,11.64,2024-11-20,8611
C9739,5610,1272,0.4032,4.41,823,6.82,0.647,20,Instagram,Video,35-44,Male,North America,50203,5778.3,8.69,2025-02-07,3154
C5312,5040,717,0.1881,7.03,291,17.32,0.4059,28,LinkedIn,Carousel,55+,Male,North America,48306,5140.8,9.4,2024-10-24,3811
C1238,4940,839,0.2009,5.89,389,12.7,0.4636,12,Facebook,Text,35-44,Female,South America,17505,4989.4,3.51,2024-08-25,4176
C2337,5010,1394,0.1841,3.59,798,6.28,0.5725,12,LinkedIn,Image,35-44,Other,Europe,158802,5260.5,30.19,2024-08-28,7571
C2998,7850,1439,0.6306,5.46,1088,7.22,0.7561,15,Instagram,Image,45-54,Male,Europe,78336,7850.0,9.98,2024-08-26,2281
C9868,6030,1292,0.151,4.67,1034,5.83,0.8003,13,Facebook,Carousel,25-34,Female,North America,117876,5788.8,20.36,2024-11-08,8556
C3107,4760,1968,0.2412,2.42,1705,2.79,0.8664,20,Google,Carousel,18-24,Other,Africa,121055,4569.6,26.49,2024-08-18,8159
C6981,4700,470,0.0522,10.0,135,34.81,0.2872,21,LinkedIn,Text,35-44,Female,Asia,18630,4606.0,4.04,2024-11-16,9003
C6577,6370,1308,0.4422,4.87,1030,6.18,0.7875,7,Facebook,Carousel,35-44,Female,Asia,73130,6178.9,11.84,2024-07-23,2957
C4410,2840,171,0.0184,16.61,117,24.27,0.6842,15,YouTube,Text,18-24,Other,Europe,22815,2896.8,7.88,2024-07-01,9293
C1091,3190,579,0.2001,5.51,264,12.08,0.456,14,Instagram,Video,55+,Female,Europe,48840,3221.9,15.16,2024-12-31,2893
C5771,5130,1854,0.6676,2.77,1515,3.39,0.8172,17,Instagram,Video,45-54,Female,North America,77265,4976.1,15.53,2024-05-08,2777
C4208,5260,1309,0.1816,4.02,994,5.29,0.7594,10,Instagram,Text,55+,Male,Asia,135184,5312.6,25.45,2024-11-16,7208
C2044,3300,955,0.5018,3.46,515,6.41,0.5393,9,YouTube,Carousel,25-34,Male,North America,88065,3201.0,27.51,2025-01-24,1903
C6950,6600,526,0.0649,12.55,339,19.47,0.6445,13,Google,Video,25-34,Male,Europe,42375,6732.0,6.29,2024-03-23,8104
C4775,3680,1990,0.6256,1.85,467,7.88,0.2347,20,YouTube,Text,35-44,Other,Asia,25218,3864.0,6.53,2024-09-03,3180
C5384,2700,98,0.0299,27.55,58,46.55,0.5918,27,Instagram,Carousel,45-54,Female,South America,1740,2808.0,0.62,2024-03-24,3277
C3403,7610,860,0.1245,8.85,519,14.66,0.6035,12,Instagram,Text,45-54,Female,North America,92382,7686.1,12.02,2024-08-03,6907
C1356,9720,640,0.3912,15.19,635,15.31,0.9922,11,YouTube,Video,18-24,Male,North America,100965,9331.2,10.82,2024-11-30,1635
C1713,2460,1841,0.3281,1.34,1295,1.9,0.7034,27,Google,Video,55+,Male,Europe,132090,2386.2,55.36,2024-03-31,5611
C4177,2990,1057,0.1088,2.83,127,23.54,0.1202,11,YouTube,Image,18-24,Male,Europe,17780,2870.4,6.19,2024-04-19,9715
C6019,7980,1477,0.182,5.4,152,52.5,0.1029,14,LinkedIn,Image,55+,Female,Europe,11096,7581.0,1.46,2024-08-30,8115
C6358,5520,777,0.4269,7.1,71,77.75,0.0914,19,Google,Text,55+,Female,Europe,9372,5630.4,1.66,2025-01-08,1820
C3652,4670,1206,0.1247,3.87,49,95.31,0.0406,10,Facebook,Text,55+,Male,Africa,7742,4529.9,1.71,2025-01-30,9671
C1058,6520,1145,0.1331,5.69,454,14.36,0.3965,14,LinkedIn,Carousel,25-34,Other,North America,50848,6324.4,8.04,2024-09-25,8602
C4581,3570,145,0.0146,24.62,23,155.22,0.1586,28,YouTube,Video,55+,Male,North America,713,3534.3,0.2,2025-01-26,9931
C1826,2390,843,0.2071,2.84,20,119.5,0.0237,19,Instagram,Carousel,45-54,Male,Asia,3440,2461.7,1.4,2024-06-13,4070
C2563,4830,1346,0.2754,3.59,771,6.26,0.5728,19,Facebook,Video,55+,Other,Africa,74787,4781.7,15.64,2024-12-21,4887
C4300,3280,1389,0.5236,2.36,496,6.61,0.3571,30,Facebook,Image,55+,Female,North America,54560,3247.2,16.8,2025-01-11,2652
C4736,5430,494,0.0964,10.99,292,18.6,0.5911,9,YouTube,Video,55+,Other,Africa,21900,5701.5,3.84,2024-07-09,5124
C6991,8030,91,0.0365,88.24,35,229.43,0.3846,13,YouTube,Text,45-54,Male,Asia,2800,8431.5,0.33,2024-02-25,2493
C7863,8710,1259,0.2976,6.92,646,13.48,0.5131,27,YouTube,Image,35-44,Male,South America,49742,9145.5,5.44,2024-05-20,4230
C6080,8840,101,0.0398,87.52,48,184.17,0.4752,8,Facebook,Text,25-34,Male,Africa,5040,8486.4,0.59,2024-08-17,2537
C3695,5200,1269,0.251,4.1,644,8.07,0.5075,18,Instagram,Carousel,45-54,Male,Asia,118496,5148.0,23.02,2024-03-22,5055
C2267,5570,985,0.3119,5.65,890,6.26,0.9036,26,LinkedIn,Carousel,25-34,Female,Europe,138840,5625.7,24.68,2024-07-13,3158
C5910,7760,1931,0.7453,4.02,1221,6.36,0.6323,29,YouTube,Image,18-24,Other,Europe,238095,8148.0,29.22,2024-06-29,2590
C1744,6110,562,0.0938,10.87,456,13.4,0.8114,11,Google,Carousel,25-34,Male,South America,74328,6354.4,11.7,2024-11-26,5991
C1100,8800,584,0.2333,15.07,464,18.97,0.7945,11,Instagram,Text,18-24,Male,Europe,18560,8712.0,2.13,2025-02-02,2503
C9820,5650,1828,0.3461,3.09,74,76.35,0.0405,30,Facebook,Carousel,45-54,Other,South America,11100,5876.0,1.89,2024-06-26,5281
C5653,2490,74,0.0095,33.65,10,249.0,0.1351,23,LinkedIn,Image,18-24,Other,Europe,1830,2614.5,0.7,2024-10-16,7789
C9290,9880,1629,0.5734,6.07,32,308.75,0.0196,16,Facebook,Video,55+,Male,Europe,4672,10374.0,0.45,2024-03-09,2840
C3953,5490,833,0.3264,6.59,403,13.62,0.4838,14,YouTube,Carousel,25-34,Male,South America,35867,5270.4,6.81,2024-12-06,2552
C8907,2430,112,0.0246,21.7,38,63.95,0.3393,8,Facebook,Text,45-54,Male,Europe,6954,2551.5,2.73,2024-05-05,4552
C2651,7280,156,0.0366,46.67,44,165.45,0.2821,25,Google,Carousel,45-54,Female,Africa,3916,7061.6,0.55,2024-10-21,4262
C8979,5700,1138,0.2254,5.01,438,13.01,0.3849,24,LinkedIn,Video,35-44,Other,South America,68766,5700.0,12.06,2024-07-14,5048
C4191,9460,1780,0.5285,5.31,607,15.58,0.341,15,YouTube,Video,35-44,Other,North America,20031,9176.2,2.18,2024-04-24,3368
C2210,4790,590,0.1765,8.12,413,11.6,0.7,15,Instagram,Carousel,35-44,Male,North America,45430,4742.1,9.58,2024-06-27,3342
C7060,3110,1996,0.2248,1.56,1380,2.25,0.6914,30,Facebook,Image,55+,Female,Asia,117300,3078.9,38.1,2024-04-17,8879
C8093,9800,91,0.0101,107.69,91,107.69,1.0,8,Google,Video,55+,Female,Europe,15743,10192.0,1.54,2024-10-18,9009
C8593,3560,1845,0.4398,1.93,832,4.28,0.4509,28,Instagram,Video,18-24,Female,Africa,59904,3382.0,17.71,2024-08-27,4195
C8519,8800,1783,0.667,4.94,1557,5.65,0.8732,29,Google,Text,18-24,Female,Asia,263133,8536.0,30.83,2024-11-14,2673
C6299,3780,1181,0.153,3.2,682,5.54,0.5775,26,Google,Carousel,45-54,Female,Europe,130944,3969.0,32.99,2024-10-27,7718
C2684,8040,672,0.5758,11.96,316,25.44,0.4702,21,Facebook,Text,18-24,Other,Europe,13588,8281.2,1.64,2024-07-23,1167
C4397,3410,889,0.3087,3.84,584,5.84,0.6569,17,LinkedIn,Carousel,35-44,Female,Africa,60152,3444.1,17.47,2024-05-30,2879
C5998,4130,954,0.1741,4.33,741,5.57,0.7767,28,YouTube,Video,25-34,Female,Africa,125229,4295.2,29.16,2024-04-25,5479
C3731,7620,1824,0.2646,4.18,1172,6.5,0.6425,23,Google,Text,45-54,Other,Asia,35160,7696.2,4.57,2024-08-20,6893
C3867,4980,1184,0.3118,4.21,520,9.58,0.4392,26,Facebook,Carousel,35-44,Male,Asia,72800,4830.6,15.07,2024-04-21,3797
C5096,6320,1816,0.2728,3.48,922,6.85,0.5077,30,YouTube,Video,45-54,Other,North America,142910,6509.6,21.95,2024-04-11,6656
C6811,9490,1834,0.6379,5.17,198,47.93,0.108,13,YouTube,Image,25-34,Other,North America,32076,9205.3,3.48,2025-01-24,2875
C6306,6150,1694,0.2802,3.63,355,17.32,0.2096,26,Instagram,Video,55+,Male,Africa,31240,6150.0,5.08,2024-12-21,6045
C7707,7780,1772,0.3083,4.39,1277,6.09,0.7207,10,LinkedIn,Text,45-54,Male,Europe,130254,8169.0,15.94,2024-07-23,5747
C3381,9320,390,0.0456,23.9,184,50.65,0.4718,16,Google,Image,55+,Male,North America,17296,9692.8,1.78,2025-01-04,8552
C9549,9030,1704,0.6349,5.3,882,10.24,0.5176,13,LinkedIn,Text,55+,Female,Europe,44982,9210.6,4.88,2024-03-03,2683
C2492,5750,1377,0.9978,4.18,470,12.23,0.3413,7,Facebook,Text,18-24,Female,Europe,73320,5462.5,13.42,2024-10-17,1380
C7257,6120,1530,0.3998,4.0,1170,5.23,0.7647,11,LinkedIn,Video,55+,Other,North America,215280,5997.6,35.89,2024-04-10,3826
